date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:42	619/619	---M--	200	added ('OK')	application/javascript	etag:%22305ca0a-26b-4fb797c305700%22	http://2015.springfest.in/js/classie.js	C:/Users/srinath/Documents/springfest/2015.springfest.in/js/classie.js	(from http://2015.springfest.in/)
15:40:43	57172/57172	---M--	200	added ('OK')	image/jpeg	etag:%222d88088-df54-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/22.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/22.jpg	(from http://2015.springfest.in/)
15:40:44	2817/2817	---M--	200	added ('OK')	application/javascript	etag:%22305ca0d-b01-4fb7982bece80%22	http://2015.springfest.in/js/tiltSlider.js	C:/Users/srinath/Documents/springfest/2015.springfest.in/js/tiltSlider.js	(from http://2015.springfest.in/)
15:40:46	98170/98170	---M--	200	added ('OK')	image/jpeg	etag:%222d88095-17f7a-4fc3ea6799380%22	http://2015.springfest.in/img/gallery/21.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/gallery/21.jpg	(from http://2015.springfest.in/)
15:40:56	72867/72867	---M--	200	added ('OK')	image/jpeg	etag:%222d8807c-11ca3-4fc3ea6799380%22	http://2015.springfest.in/img/background/home.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/background/home.jpg	(from http://2015.springfest.in/intial.css)
15:41:00	93689/93689	---M--	200	added ('OK')	image/jpeg	etag:%222d8807a-16df9-4fc3ea6799380%22	http://2015.springfest.in/img/background/aboutus.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/background/aboutus.jpg	(from http://2015.springfest.in/intial.css)
15:41:02	96770/96770	---M--	200	added ('OK')	image/jpeg	etag:%222d8807d-17a02-4fc3ea6799380%22	http://2015.springfest.in/img/background/archives.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/background/archives.jpg	(from http://2015.springfest.in/intial.css)
15:41:07	18715/18715	---M--	200	added ('OK')	image/png	etag:%222d88075-491b-4fc3ea6799380%22	http://2015.springfest.in/img/logo/social.png	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/logo/social.png	(from http://2015.springfest.in/intial.css)
15:41:07	462/462	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Sep%202014%2010:12:39%20GMT	http://2015.springfest.in/COPRGTL.ttf	C:/Users/srinath/Documents/springfest/2015.springfest.in/COPRGTL.2c.delayed	(from http://2015.springfest.in/intial.css)
15:41:09	80942/80942	---M--	200	added ('OK')	image/jpeg	etag:%222d8807b-13c2e-4fc3ea6799380%22	http://2015.springfest.in/img/background/sponsers.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/background/sponsers.jpg	(from http://2015.springfest.in/intial.css)
15:41:09	57784/57784	---M--	200	added ('OK')	image/jpeg	etag:%222d8807e-e1b8-4fc3ea6799380%22	http://2015.springfest.in/img/background/contacts.jpg	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/background/contacts.jpg	(from http://2015.springfest.in/intial.css)
15:41:11	465/465	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Sep%202014%2010:12:42%20GMT	http://2015.springfest.in/restserver.php	C:/Users/srinath/Documents/springfest/2015.springfest.in/restserver.2f.delayed	(from http://connect.facebook.net/en_US/sdk.js)
15:41:12	515/515	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Sep%202014%2010:12:43%20GMT	http://2015.springfest.in/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/	C:/Users/srinath/Documents/springfest/2015.springfest.in/ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789+/index.html	(from http://connect.facebook.net/en_US/sdk.js)
15:41:13	458/458	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Sep%202014%2010:12:44%20GMT	http://2015.springfest.in/dialog/	C:/Users/srinath/Documents/springfest/2015.springfest.in/dialog/index.html	(from http://connect.facebook.net/en_US/sdk.js)
15:41:14	479/479	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2009%20Sep%202014%2010:12:45%20GMT	http://2015.springfest.in/%s/profile.php?id=%s	C:/Users/srinath/Documents/springfest/2015.springfest.in/%s/profile4d6d.php	(from http://connect.facebook.net/en_US/sdk.js)
15:41:21	103564/103564	---M--	200	added ('OK')	application/x-font-otf	etag:%22bc6200c-1948c-4fc3ecaf3f480%22	http://2015.springfest.in/myriad_semi.otf	C:/Users/srinath/Documents/springfest/2015.springfest.in/myriad_semi.otf	(from http://2015.springfest.in/intial.css)
15:41:27	163810/163810	---M--	200	added ('OK')	image/png	etag:%22215601d-27fe2-500b078e3ea80%22	http://2015.springfest.in/img/heads.png	C:/Users/srinath/Documents/springfest/2015.springfest.in/img/heads.png	(from http://2015.springfest.in/intial.css)
15:46:05	7286159/7286159	---M--	200	added ('OK')	application/pdf	etag:%22bc62004-6f2d8f-4fc3e5f0249c0%22	http://2015.springfest.in/Profile_SpringFest.pdf	C:/Users/srinath/Documents/springfest/2015.springfest.in/Profile_SpringFest.pdf	(from http://2015.springfest.in/)
